1382	8 (A B C D E F G H)
Carex_loliacea	00010010
Carex_longifructus	00000100
Carex_longii	00000011
Carex_lowei	00010000
Carex_lucorum	00000010
Carex_ludwigii	01100000
Carex_lupuliformis	00000010
Carex_lupulina	00000010
Carex_lurida	00000011
Carex_lycurus	00100000
Carex_lyngbyei	00010010
Carex_maackii	00010000
Carex_mackenziei	00010010
Carex_macloviana	00010011
Carex_macrandrolepis	00011100
Carex_macrocephala	00010010
Carex_macrochaeta	00010010
Carex_macrolepis	00010000
Carex_macroprophylla	00010000
Carex_madagascariensis	10000000
Carex_magellanica	00010011
Carex_mairei	00010000
Carex_manhartii	00000010
Carex_mannii	00100000
Carex_mannii_subsp_friesiorum	00100000
Carex_mannii_subsp_thomasii	00100000
Carex_marina	00010010
Carex_mariposana	00000010
Carex_maritima	00010011
Carex_meadii	00000010
Carex_media	00010010
Carex_megalepis	00000100
Carex_melanantha	00010000
Carex_melanocarpa	00010000
Carex_melanocephala	00010000
Carex_melanostachya	00010000
Carex_membranacea	00010010
Carex_mendocinensis	00000010
Carex_merritt_fernaldii	00000010
Carex_mertensii	00010010
Carex_mesochorea	00000010
Carex_meyeriana	00010000
Carex_michauxiana	00010110
Carex_michelii	00010000
Carex_microcarpa	00010000
Carex_microchaeta	00010010
Carex_microdonta	00000010
Carex_microglochin	00010011
Carex_micropoda	00010010
Carex_microptera	00000010
Carex_minor	00000100
Carex_misera	00000010
Carex_missouriensis	00000010
Carex_mitchelliana	00000010
Carex_mitrata	00010000
Carex_molesta	00000010
Carex_molestiformis	00000010
Carex_monostachya	00100000
Carex_monotropa	01000000
Carex_montana	00010000
Carex_mucronata	00010000
Carex_muehlenbergii	00000011
Carex_multicostata	00000010
Carex_multispiculata	11000000
Carex_muricata_subsp_muricata	00010000
Carex_muskingumensis	00000010
Carex_myosuroides	00010010
Carex_nardina	00010010
Carex_nebraskensis	00010010
Carex_neesii	00010000
Carex_negrii	00100000
Carex_nemostachys	00011100
Carex_nemurensis	00010000
Carex_neochevalieri	00100000
Carex_nervata	00010000
Carex_nervina	00000010
Carex_neurocarpa	00010000
Carex_nigra	00010010
Carex_nigricans	00000010
Carex_nigromarginata	00000010
Carex_nodaeana	00010000
Carex_normalis	00000010
Carex_norvegica	00010010
Carex_novae_angliae	00000010
Carex_nubigena	00011100
Carex_nudata	00000010
Carex_obnupta	00000010
Carex_obscura_var_brachycarpa	00010000
Carex_obtusata	00010010
Carex_obtusifolia	00000100
Carex_occidentalis	00000010
Carex_oedipostyla	00010000
Carex_olbiensis	00010000
Carex_oligocarpa	00000010
Carex_oligosperma	00010010
Carex_opaca	00000010
Carex_orbicularis	00011000
Carex_ornithopoda	00010000
Carex_oronensis	00000010
Carex_otrubae	00011000
Carex_ouachitana	00000010
Carex_ozarkana	00000010
Carex_pachygyna	00010000
Carex_pachystachya	00010010
Carex_pachystylis	00010000
Carex_paeninsulae	00000010
Carex_pairae	00010000
Carex_paleacea	00010010
Carex_pallescens	00010010
Carex_pallidula	00010000
Carex_panicea	00010010
Carex_paniculata	00010000
Carex_paniculata_subsp_lusitanica	00010000
Carex_panormitana	00010000
Carex_pansa	00000010
Carex_papulosa	00010000
Carex_parallela	00010010
Carex_parryana	00000010
Carex_parviflora	00010000
Carex_parvirufa	01000000
Carex_parvispica	00000100
Carex_parvula	00011100
Carex_pauciflora	00010010
Carex_paulo_vargasii	00010000
Carex_peckii	00000010
Carex_pediformis	00010000
Carex_pediformis_subsp_macroura	00010000
Carex_pedunculata	00000010
Carex_pellita	00000010
Carex_pendula	00010000
Carex_penduliformis	10000000
Carex_pensylvanica	00000010
Carex_perdensa	01000000
Carex_peregrina	00110000
Carex_perplexa	00000100
Carex_perraudieriana	00010000
Carex_petasata	00000010
Carex_petitiana	00110000
Carex_petitiana_subsp_attenuata	00110000
Carex_petricosa	00010010
Carex_peucophila	00000011
Carex_phacota_var_gracilispica	00011100
Carex_phaeocephala	00000010
Carex_phleoides	00000001
Carex_phragmitoides	00100000
Carex_physodes	00011000
Carex_pichinchensis	00000001
Carex_pigra	00000010
Carex_pilosa	00010000
Carex_pilulifera	00010000
Carex_pisiformis	00010000
Carex_pisiformis_var_sikokiana	00010000
Carex_planata	00010000
Carex_planispicata	00000010
Carex_plantaginea	00000010
Carex_platyphylla	00000010
Carex_pluriflora	00010010
Carex_podocarpa	00010010
Carex_polysticha	00000001
Carex_potens	00000100
Carex_praecox	00010000
Carex_praegracilis	00000011
Carex_prairea	00000010
Carex_praticola	00000010
Carex_preslii	00000010
Carex_projecta	00000010
Carex_proxima	10000000
Carex_pruinosa	00011100
Carex_pseudobrizoides	00010000
Carex_pseudocuraica	00010000
Carex_pseudocyperus	00010110
Carex_pseudofoetida_subsp_afghanica	00010000
Carex_pseudorufa	01000000
Carex_pulicaris	00010000
Carex_pumila	00010100
Carex_punctata	00010000
Carex_punicea	00000100
Carex_purpurata	00000100
Carex_purpurifera	00000010
Carex_pyramidalis	10000000
Carex_pyrenaica	00010000
Carex_quadriflora	00010000
Carex_radfordii	00000010
Carex_radiata	00000010
Carex_rainbowii	01000000
Carex_ramenskii	00010000
Carex_ramosa	10000000
Carex_rariflora	00010010
Carex_raynoldsii	00000010
Carex_remota	00010000
Carex_renauldii	10000000
Carex_reniformis	00000010
Carex_renschiana	10000000
Carex_resectans	00000100
Carex_retroflexa	00000010
Carex_retrorsa	00000010
Carex_reuteriana	00010000
Carex_rhizina_subsp_rhizina	00010000
Carex_rhodesiaca	01100000
Carex_richardsonii	00000010
Carex_riloensis	00010000
Carex_rochebrunii	00011100
Carex_rorulenta	00010000
Carex_rosea	00000010
Carex_rossii	00000010
Carex_rostrata	00010010
Carex_rotundata	00010010
Carex_runssoroensis	00100000
Carex_rupestris	00010010
Carex_rutenbergiana	10000000
Carex_salina	00010010
Carex_sartwellii	00000010
Carex_saxatilis	00010010
Carex_saximontana	00000010
Carex_scabrata	00000010
Carex_scabriuscula	00000010
Carex_scaposa	00010100
Carex_schimperiana	01110000
Carex_schweickerdtii	01000000
Carex_scirpoidea	00010010
Carex_scoparia_var_scoparia	00000010
Carex_scoparia_var_tessellata	00000010
Carex_scopulorum	00000010
Carex_sempervirens_subsp_sempervirens	00010000
Carex_seorsa	00000010
Carex_shinnersii	00000010
Carex_siccata	00000010
Carex_siderosticta	00010000
Carex_silicea	00000010
Carex_silvestris	00000100
Carex_simensis	00100000
Carex_simpliciuscula	00010010
Carex_simulata	00000010
Carex_socialis	00000010
Carex_songorica	00010000
Carex_sparganioides	00000010
Carex_spartea	11100000
Carex_spectabilis	00010010
Carex_sphaerogyna	10000000
Carex_spicata	00010000
Carex_sprengelii	00000010
Carex_squarrosa	00000010
Carex_stenocarpa	00010000
Carex_stenophylla	00010000
Carex_steudneri	00100000
Carex_stipata	00010010
Carex_stramentitia	00011100
Carex_straminea	00000010
Carex_straminiformis	00000010
Carex_striatula	00000010
Carex_stricta	00000010
Carex_strictissima	00000100
Carex_strigosa	00010000
Carex_styloflexa	00000010
Carex_stylosa	00010010
Carex_subbracteata	00000010
Carex_suberecta	00000010
Carex_subfusca	00000010
Carex_subspathacea	00010000
Carex_subtilis	00000100
Carex_subviridis	00000100
Carex_supina	00010010
Carex_swanii	00000010
Carex_sychnocephala	00000010
Carex_sylvatica	00010000
Carex_teinogyna	00011100
Carex_tenera	00000010
Carex_tenuiflora	00010010
Carex_tetanica	00000010
Carex_tetrastachya	00000010
Carex_thornei	00000010
Carex_thurberi	00000011
Carex_tincta	00000010
Carex_tomentosa	00010000
Carex_tonsa	00000010
Carex_torreyi	00000010
Carex_torta	00000010
Carex_trachycarpa	00000100
Carex_traiziscana	00010000
Carex_triangularis	00000010
Carex_tribuloides_var_sangamonensis	00000010
Carex_tribuloides_var_tribuloides	00000010
Carex_tricolor	00010000
Carex_trinervis	00010000
Carex_trisperma	00000010
Carex_tristachya	00010100
Carex_tristachya_var_pocilliformis	00010100
Carex_tristis	00010000
Carex_troodi	00010000
Carex_tsushimensis	00010000
Carex_typhina	00000010
Carex_uhligii	01100000
Carex_umbellata	00000100
Carex_umbricola	00000001
Carex_umbrosa_subsp_huetiana	00010000
Carex_uncinata	00000001
Carex_ursina	00010010
Carex_ussuriensis	00010000
Carex_utriculata	00010010
Carex_vaginata	00010010
Carex_valbrayi	10000000
Carex_vallisrosetto	00100000
Carex_vernacula	00000010
Carex_vesicaria	00010010
Carex_vexans	00000010
Carex_viridula	00010010
