Species,Area
Carex_loliacea,B
Carex_longifructus,B
Carex_longii,B
Carex_lowei,B
Carex_lucorum,B
Carex_ludwigii,B
Carex_lupuliformis,B
Carex_lupulina,B
Carex_lurida,B
Carex_lycurus,B
Carex_lyngbyei,B
Carex_maackii,B
Carex_mackenziei,B
Carex_macloviana,B
Carex_macrandrolepis,B
Carex_macrocephala,B
Carex_macrochaeta,B
Carex_macrolepis,B
Carex_macroprophylla,B
Carex_madagascariensis,A
Carex_magellanica,B
Carex_mairei,B
Carex_manhartii,B
Carex_mannii,B
Carex_mannii_subsp_friesiorum,B
Carex_mannii_subsp_thomasii,B
Carex_marina,B
Carex_mariposana,B
Carex_maritima,B
Carex_meadii,B
Carex_media,B
Carex_megalepis,B
Carex_melanantha,B
Carex_melanocarpa,B
Carex_melanocephala,B
Carex_melanostachya,B
Carex_membranacea,B
Carex_mendocinensis,B
Carex_merritt_fernaldii,B
Carex_mertensii,B
Carex_mesochorea,B
Carex_meyeriana,B
Carex_michauxiana,B
Carex_michelii,B
Carex_microcarpa,B
Carex_microchaeta,B
Carex_microdonta,B
Carex_microglochin,B
Carex_micropoda,B
Carex_microptera,B
Carex_minor,B
Carex_misera,B
Carex_missouriensis,B
Carex_mitchelliana,B
Carex_mitrata,B
Carex_molesta,B
Carex_molestiformis,B
Carex_monostachya,B
Carex_monotropa,B
Carex_montana,B
Carex_mucronata,B
Carex_muehlenbergii,B
Carex_multicostata,B
Carex_multispiculata,AB
Carex_muricata_subsp_muricata,B
Carex_muskingumensis,B
Carex_myosuroides,B
Carex_nardina,B
Carex_nebraskensis,B
Carex_neesii,B
Carex_negrii,B
Carex_nemostachys,B
Carex_nemurensis,B
Carex_neochevalieri,B
Carex_nervata,B
Carex_nervina,B
Carex_neurocarpa,B
Carex_nigra,B
Carex_nigricans,B
Carex_nigromarginata,B
Carex_nodaeana,B
Carex_normalis,B
Carex_norvegica,B
Carex_novae_angliae,B
Carex_nubigena,B
Carex_nudata,B
Carex_obnupta,B
Carex_obscura_var_brachycarpa,B
Carex_obtusata,B
Carex_obtusifolia,B
Carex_occidentalis,B
Carex_oedipostyla,B
Carex_olbiensis,B
Carex_oligocarpa,B
Carex_oligosperma,B
Carex_opaca,B
Carex_orbicularis,B
Carex_ornithopoda,B
Carex_oronensis,B
Carex_otrubae,B
Carex_ouachitana,B
Carex_ozarkana,B
Carex_pachygyna,B
Carex_pachystachya,B
Carex_pachystylis,B
Carex_paeninsulae,B
Carex_pairae,B
Carex_paleacea,B
Carex_pallescens,B
Carex_pallidula,B
Carex_panicea,B
Carex_paniculata,B
Carex_paniculata_subsp_lusitanica,B
Carex_panormitana,B
Carex_pansa,B
Carex_papulosa,B
Carex_parallela,B
Carex_parryana,B
Carex_parviflora,B
Carex_parvirufa,B
Carex_parvispica,B
Carex_parvula,B
Carex_pauciflora,B
Carex_paulo_vargasii,B
Carex_peckii,B
Carex_pediformis,B
Carex_pediformis_subsp_macroura,B
Carex_pedunculata,B
Carex_pellita,B
Carex_pendula,B
Carex_penduliformis,A
Carex_pensylvanica,B
Carex_perdensa,B
Carex_peregrina,B
Carex_perplexa,B
Carex_perraudieriana,B
Carex_petasata,B
Carex_petitiana,B
Carex_petitiana_subsp_attenuata,B
Carex_petricosa,B
Carex_peucophila,B
Carex_phacota_var_gracilispica,B
Carex_phaeocephala,B
Carex_phleoides,B
Carex_phragmitoides,B
Carex_physodes,B
Carex_pichinchensis,B
Carex_pigra,B
Carex_pilosa,B
Carex_pilulifera,B
Carex_pisiformis,B
Carex_pisiformis_var_sikokiana,B
Carex_planata,B
Carex_planispicata,B
Carex_plantaginea,B
Carex_platyphylla,B
Carex_pluriflora,B
Carex_podocarpa,B
Carex_polysticha,B
Carex_potens,B
Carex_praecox,B
Carex_praegracilis,B
Carex_prairea,B
Carex_praticola,B
Carex_preslii,B
Carex_projecta,B
Carex_proxima,A
Carex_pruinosa,B
Carex_pseudobrizoides,B
Carex_pseudocuraica,B
Carex_pseudocyperus,B
Carex_pseudofoetida_subsp_afghanica,B
Carex_pseudorufa,B
Carex_pulicaris,B
Carex_pumila,B
Carex_punctata,B
Carex_punicea,B
Carex_purpurata,B
Carex_purpurifera,B
Carex_pyramidalis,A
Carex_pyrenaica,B
Carex_quadriflora,B
Carex_radfordii,B
Carex_radiata,B
Carex_rainbowii,B
Carex_ramenskii,B
Carex_ramosa,A
Carex_rariflora,B
Carex_raynoldsii,B
Carex_remota,B
Carex_renauldii,A
Carex_reniformis,B
Carex_renschiana,A
Carex_resectans,B
Carex_retroflexa,B
Carex_retrorsa,B
Carex_reuteriana,B
Carex_rhizina_subsp_rhizina,B
Carex_rhodesiaca,B
Carex_richardsonii,B
Carex_riloensis,B
Carex_rochebrunii,B
Carex_rorulenta,B
Carex_rosea,B
Carex_rossii,B
Carex_rostrata,B
Carex_rotundata,B
Carex_runssoroensis,B
Carex_rupestris,B
Carex_rutenbergiana,A
Carex_salina,B
Carex_sartwellii,B
Carex_saxatilis,B
Carex_saximontana,B
Carex_scabrata,B
Carex_scabriuscula,B
Carex_scaposa,B
Carex_schimperiana,B
Carex_schweickerdtii,B
Carex_scirpoidea,B
Carex_scoparia_var_scoparia,B
Carex_scoparia_var_tessellata,B
Carex_scopulorum,B
Carex_sempervirens_subsp_sempervirens,B
Carex_seorsa,B
Carex_shinnersii,B
Carex_siccata,B
Carex_siderosticta,B
Carex_silicea,B
Carex_silvestris,B
Carex_simensis,B
Carex_simpliciuscula,B
Carex_simulata,B
Carex_socialis,B
Carex_songorica,B
Carex_sparganioides,B
Carex_spartea,AB
Carex_spectabilis,B
Carex_sphaerogyna,A
Carex_spicata,B
Carex_sprengelii,B
Carex_squarrosa,B
Carex_stenocarpa,B
Carex_stenophylla,B
Carex_steudneri,B
Carex_stipata,B
Carex_stramentitia,B
Carex_straminea,B
Carex_straminiformis,B
Carex_striatula,B
Carex_stricta,B
Carex_strictissima,B
Carex_strigosa,B
Carex_styloflexa,B
Carex_stylosa,B
Carex_subbracteata,B
Carex_suberecta,B
Carex_subfusca,B
Carex_subspathacea,B
Carex_subtilis,B
Carex_subviridis,B
Carex_supina,B
Carex_swanii,B
Carex_sychnocephala,B
Carex_sylvatica,B
Carex_teinogyna,B
Carex_tenera,B
Carex_tenuiflora,B
Carex_tetanica,B
Carex_tetrastachya,B
Carex_thornei,B
Carex_thurberi,B
Carex_tincta,B
Carex_tomentosa,B
Carex_tonsa,B
Carex_torreyi,B
Carex_torta,B
Carex_trachycarpa,B
Carex_traiziscana,B
Carex_triangularis,B
Carex_tribuloides_var_sangamonensis,B
Carex_tribuloides_var_tribuloides,B
Carex_tricolor,B
Carex_trinervis,B
Carex_trisperma,B
Carex_tristachya,B
Carex_tristachya_var_pocilliformis,B
Carex_tristis,B
Carex_troodi,B
Carex_tsushimensis,B
Carex_typhina,B
Carex_uhligii,B
Carex_umbellata,B
Carex_umbricola,B
Carex_umbrosa_subsp_huetiana,B
Carex_uncinata,B
